owner,dt_create,dt_update,description,name,photo,price,tags,type
,,,,Pepsodent Germicheck,,"18/50 gms,47/100 gms",,
,,,,Dabur Red,,100/100 gms ,,
,,,,Sensodyne,,25/100 gms,,
,,,,Calcium Lactate,,25/100 gms,,
,,,Sause,Maggi Ketchup,,"51/200 gms,137/1 kg",,
,,,,Maggi Hot and sweet,,"51/200 gms,140/1 kg",,
,,,,Chilli Sauce,,30/200 gm,,
,,,,Soya Sauce,,30/200 gms,,
,,,,Weikfields Garlic Chilli Sause,,40/200,,
,,,,Weikfields sweet chilli sauce,,56/400 gms,,
,,,,Mayonnaise Egg,,79/250 gms,,
,,,,Mayonnaise Egg less,,79/250 gms,,
,,,,Nestle Milkmaid,,110/400 gms,,
,,,Ghee,Jharna Ghee,,"52/100 gms,125/250 gms,245/500 gms",,
,,,,Nestle everyday ghee,,375/1 ltr,,
,,,,Anik Ghee,,495/1 ltr,,
,,,Honey,Lion,,154/250 ml,,
,,,,Dabur,,95/250 ml,,
,,,MTR,Puliogare Powder,,38/100 gms,,
,,,,Upma Mix,,"15,35/ pack",,
,,,,Poha mix,,"15,35/pack",,
,,,,Dhoka Mix,,14/100 gms,,
,,,,Roasted Sevai,,"20/roasted,15/plain",,
,,,Chowmein,Chow,,"5,16/pack",,
,,,Pickles,Mixed,,"10/pouch,64/300 gms",,
,,,,Mango,,"10/pouch,64/300 gms",,
,,,Seasoning,Origano,,96/7 gms,,
,,,,Chilli flakes,,80/40 gms,,
,,,Incent Sticks,Mangal Deep ,,"10,15,45",,
,,,,Darshan,,"10,15,45",,
,,,,Cycle ,,"10,15,45",,
,,,,Moksh ,,12,,
,,,Garbage bag,,,35/32 piece pack,,
,,,,Dettol Liquid,,"30/110,107/500 ml",,
,,,,Savlon Liquid ,,190/1 liter,,
